"importId";"numericCode";"name";"fullName";"alpha2Code";"alpha3Code"
"197";"652";"СЕН-БАРТЕЛЕМИ";"";"BL";"BLM"
"198";"654";"СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ";"";"SH";"SHN"
"199";"659";"СЕНТ-КИТС И НЕВИС";"";"KN";"KNA"
"200";"660";"АНГИЛЬЯ";"";"AI";"AIA"
"201";"662";"СЕНТ-ЛЮСИЯ";"";"LC";"LCA"
"202";"663";"СЕН-МАРТЕН (французская часть)";"";"MF";"MAF"
"203";"666";"СЕН-ПЬЕР И МИКЕЛОН";"";"PM";"SPM"
"204";"670";"СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ";"";"VC";"VCT"
"205";"674";"САН-МАРИНО";"Республика Сан-Марино";"SM";"SMR"
"206";"678";"САН-ТОМЕ И ПРИНСИПИ";"Демократическая Республика Сан-Томе и Принсипи";"ST";"STP"
"207";"682";"САУДОВСКАЯ АРАВИЯ";"Королевство Саудовская Аравия";"SA";"SAU"
"208";"686";"СЕНЕГАЛ";"Республика Сенегал";"SN";"SEN"
"209";"688";"СЕРБИЯ";"Республика Сербия";"RS";"SRB"
"210";"690";"СЕЙШЕЛЫ";"Республика Сейшелы";"SC";"SYC"
"211";"694";"СЬЕРРА-ЛЕОНЕ";"Республика Сьерра-Леоне";"SL";"SLE"
"212";"702";"СИНГАПУР";"Республика Сингапур";"SG";"SGP"
"213";"703";"СЛОВАКИЯ";"Словацкая Республика";"SK";"SVK"
"214";"704";"ВЬЕТНАМ";"Социалистическая Республика Вьетнам";"VN";"VNM"
"215";"705";"СЛОВЕНИЯ";"Республика Словения";"SI";"SVN"
"216";"706";"СОМАЛИ";"Федеративная Республика Сомали";"SO";"SOM"
"217";"710";"ЮЖНАЯ АФРИКА";"Южно-Африканская Республика";"ZA";"ZAF"
"218";"716";"ЗИМБАБВЕ";"Республика Зимбабве";"ZW";"ZWE"
"219";"724";"ИСПАНИЯ";"Королевство Испания";"ES";"ESP"
"220";"728";"ЮЖНЫЙ СУДАН";"Республика Южный Судан";"SS";"SSD"
"221";"729";"СУДАН";"Республика Судан";"SD";"SDN"
"222";"732";"ЗАПАДНАЯ САХАРА";"";"EH";"ESH"
"223";"740";"СУРИНАМ";"Республика Суринам";"SR";"SUR"
"224";"744";"ШПИЦБЕРГЕН И ЯН МАЙЕН";"";"SJ";"SJM"
"225";"748";"ЭСВАТИНИ";"Королевство Эсватини";"SZ";"SWZ"
"226";"752";"ШВЕЦИЯ";"Королевство Швеция";"SE";"SWE"
"227";"760";"СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА";"";"SY";"SYR"
"228";"764";"ТАИЛАНД";"Королевство Таиланд";"TH";"THA"
"229";"768";"ТОГО";"Тоголезская Республика";"TG";"TGO"
"230";"772";"ТОКЕЛАУ";"";"TK";"TKL"
"231";"776";"ТОНГА";"Королевство Тонга";"TO";"TON"
"232";"780";"ТРИНИДАД И ТОБАГО";"Республика Тринидад и Тобаго";"TT";"TTO"
"233";"788";"ТУНИС";"Тунисская Республика";"TN";"TUN"
"234";"796";"ОСТРОВА ТЕРКС И КАЙКОС";"";"TC";"TCA"
"235";"798";"ТУВАЛУ";"";"TV";"TUV"
"236";"800";"УГАНДА";"Республика Уганда";"UG";"UGA"
"237";"807";"СЕВЕРНАЯ МАКЕДОНИЯ";"Республика Северная Македония";"MK";"MKD"
"238";"818";"ЕГИПЕТ";"Арабская Республика Египет";"EG";"EGY"
"239";"831";"ГЕРНСИ";"";"GG";"GGY"
"240";"832";"ДЖЕРСИ";"";"JE";"JEY"
"241";"833";"ОСТРОВ МЭН";"";"IM";"IMN"
"242";"834";"ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА";"Объединенная Республика Танзания";"TZ";"TZA"
"243";"850";"ВИРГИНСКИЕ ОСТРОВА (США)";"Виргинские острова Соединенных Штатов";"VI";"VIR"
